"","sample","site","date","species","nReads","Hash","kingdom","phylum","class","order","family","genus","EarlyLifeMinerology","AdultMinerology","reliability.minerology","trophic_level_fv","group_fv","benthos"
"1","CP_201706","CP","_201706","Orthocladius sp. BOLD-2016",993,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"2","CP_201707","CP","_201707","Chrysonoma sp. ANIC15",6,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"3","CP_201708","CP","_201708","Loxothylacus panopaei",73,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"4","CP_201709","CP","_201709","Homo sapiens",48,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"5","CP_201710","CP","_201710","Homo sapiens",1144,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"6","CP_201710","CP","_201710","Urile penicillatus",2175,"1b77eab6ffdc983da74857df2b9c3a1e1aab8029","Metazoa","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Urile","Vertebrate","Vertebrate","family","undetermined","undetermined","None"
"7","CP_201711","CP","_201711","Carcinonemertes errans",53,"e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce","Metazoa","Nemertea","Enopla","Monostilifera","Carcinonemertidae","Carcinonemertes",NA,NA,NA,"undetermined","undetermined","None"
"8","CP_201711","CP","_201711","Homo sapiens",238,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"9","CP_201711","CP","_201711","Phoca vitulina",4,"24067aaaff3572d8d40b6c82d133203279e26495","Metazoa","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Vertebrate","Vertebrate","species","undetermined","undetermined","None"
"10","CP_201801","CP","_201801","Homo sapiens",36,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"11","CP_201803","CP","_201803","Homo sapiens",748,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"12","CP_201803","CP","_201803","Orthocladius sp. BOLD-2016",11,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"13","CP_201805","CP","_201805","Homo sapiens",1739,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"14","CP_201807","CP","_201807","Chrysonoma sp. ANIC15",134,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"15","CP_201807","CP","_201807","Homo sapiens",300,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"16","FH_201707","FH","_201707","Homo sapiens",8,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"17","FH_201708","FH","_201708","Chrysonoma sp. ANIC15",54,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"18","FH_201708","FH","_201708","Homo sapiens",21,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"19","FH_201709","FH","_201709","Chrysonoma sp. ANIC15",7,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"20","FH_201709","FH","_201709","Homo sapiens",95,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"21","FH_201710","FH","_201710","Homo sapiens",412,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"22","FH_201711","FH","_201711","Homo sapiens",405,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"23","FH_201801","FH","_201801","Homo sapiens",2216,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"24","FH_201803","FH","_201803","Homo sapiens",443,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"25","FH_201805","FH","_201805","Gallus gallus",76,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"26","FH_201805","FH","_201805","Polychaeta sp. NB-Po356",1045,"f60de0276345485ea79d0f48c664a8186fffdaa1","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,"polychaete","None"
"27","FH_201807","FH","_201807","Homo sapiens",29,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"28","LK_201708","LK","_201708","Homo sapiens",9,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"29","LK_201709","LK","_201709","Homo sapiens",8,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"30","LK_201710","LK","_201710","Homo sapiens",1054,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"31","LK_201711","LK","_201711","Homo sapiens",367,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"32","LK_201801","LK","_201801","Homo sapiens",140,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"33","LK_201801","LK","_201801","Orthocladius sp. BOLD-2016",2765,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"34","LK_201803","LK","_201803","Homo sapiens",42,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"35","LK_201805","LK","_201805","Homo sapiens",399,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"36","LK_201807","LK","_201807","Homo sapiens",147,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"37","LL_201703","LL","_201703","Homo sapiens",1381,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"38","LL_201703","LL","_201703","Orthocladius sp. BOLD-2016",83,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"39","LL_201706","LL","_201706","Homo sapiens",120,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"40","LL_201707","LL","_201707","Gallus gallus",4,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"41","LL_201707","LL","_201707","Homo sapiens",9,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"42","LL_201708","LL","_201708","Gallus gallus",74,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"43","LL_201708","LL","_201708","Homo sapiens",374,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"44","LL_201708","LL","_201708","Polychaeta sp. BOLD:ACQ0474",67,"cc3be3a4412990d18c51855a59f8662d3752d078","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,"polychaete","None"
"45","LL_201709","LL","_201709","Homo sapiens",27,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"46","LL_201711","LL","_201711","Bursaphelenchus cocophilus",25,"84e63c8cce2215c953a18704fdbabd91e440e250","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,NA,NA,"worm","None"
"47","LL_201711","LL","_201711","Homo sapiens",20,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"48","LL_201711","LL","_201711","Psocoptera sp. BOLD:ACB0984",51,"a14d493abcb3b525eb449d241bd2564ca50eba6f","Metazoa","Arthropoda","Insecta",NA,NA,NA,NA,NA,NA,"3, insect","undetermined","None"
"49","LL_201801","LL","_201801","Homo sapiens",287,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"50","LL_201803","LL","_201803","Homo sapiens",408,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"51","LL_201803","LL","_201803","Peltogaster paguri",38,"0c80c3d1c3e4ea78badcbf7c4532267fb7f45d81","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Peltogastridae","Peltogaster",NA,NA,NA,"undetermined","undetermined","None"
"52","LL_201805","LL","_201805","Ismaila chaihuiensis",1562,"d37588427486d34075380da02e16453d4ee919c2","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Splanchnotrophidae","Ismaila",NA,NA,NA,"undetermined","undetermined","None"
"53","LL_201805","LL","_201805","Loxothylacus panopaei",1380,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"54","LL_201807","LL","_201807","Homo sapiens",274,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"55","PO_201703","PO","_201703","Homo sapiens",9586,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"56","PO_201703","PO","_201703","Orthocladius sp. BOLD-2016",38,"2a467913d5751f2ac544ca7bba4b09ed0813def5","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Orthocladius",NA,NA,NA,"3, insect","fly","None"
"57","PO_201707","PO","_201707","Gallus gallus",144,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"58","PO_201707","PO","_201707","Homo sapiens",258,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"59","PO_201708","PO","_201708","Gallus gallus",14,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"60","PO_201708","PO","_201708","Homo sapiens",154,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"61","PO_201709","PO","_201709","Homo sapiens",201,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"62","PO_201711","PO","_201711","Bursaphelenchus cocophilus",75,"84e63c8cce2215c953a18704fdbabd91e440e250","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,NA,NA,"worm","None"
"63","PO_201711","PO","_201711","Homo sapiens",7245,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"64","PO_201801","PO","_201801","Carcinonemertes errans",27,"e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce","Metazoa","Nemertea","Enopla","Monostilifera","Carcinonemertidae","Carcinonemertes",NA,NA,NA,"undetermined","undetermined","None"
"65","PO_201801","PO","_201801","Homo sapiens",585,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"66","PO_201803","PO","_201803","Chironomidae sp. BOLD:ACC1767",2426,"419cd299ee09537cc438eb3509ebd19816190259","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,NA,NA,"3, insect","fly","None"
"67","PO_201803","PO","_201803","Homo sapiens",202,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"68","PO_201805","PO","_201805","Homo sapiens",131,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"69","PO_201807","PO","_201807","Homo sapiens",28,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"70","SA_201705","SA","_201705","Homo sapiens",8,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"71","SA_201708","SA","_201708","Chrysonoma sp. ANIC15",12,"3b86a8af70ee3ae734e65aed41f36d6169e3f60a","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Chrysonoma",NA,NA,NA,"3, insect","undetermined","None"
"72","SA_201708","SA","_201708","Homo sapiens",342,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"73","SA_201709","SA","_201709","Carcinonemertes errans",888,"e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce","Metazoa","Nemertea","Enopla","Monostilifera","Carcinonemertidae","Carcinonemertes",NA,NA,NA,"undetermined","undetermined","None"
"74","SA_201709","SA","_201709","Homo sapiens",36,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"75","SA_201711","SA","_201711","Homo sapiens",13,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"76","SA_201801","SA","_201801","Homo sapiens",75,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"77","SA_201803","SA","_201803","Homo sapiens",476,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"78","TR_201703","TR","_201703","Homo sapiens",202,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"79","TR_201705","TR","_201705","Homo sapiens",68,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"80","TR_201705","TR","_201705","Loxothylacus panopaei",4,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"81","TR_201706","TR","_201706","Loxothylacus panopaei",15461,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"82","TR_201707","TR","_201707","Loxothylacus panopaei",302,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"83","TR_201708","TR","_201708","Gallus gallus",8,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"84","TR_201708","TR","_201708","Homo sapiens",30,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"85","TR_201709","TR","_201709","Cryptocotyle lingua",166,"f8e230c569b132d41930401c9deacad90391e0c2","Metazoa","Platyhelminthes","Trematoda","Opisthorchiida","Heterophyidae","Cryptocotyle",NA,NA,NA,"3, non-marine","planarian, terrestrial","None"
"86","TR_201709","TR","_201709","Homo sapiens",647,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"87","TR_201711","TR","_201711","Homo sapiens",28,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"88","TR_201801","TR","_201801","Homo sapiens",159,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"89","TR_201803","TR","_201803","Clunio tsushimensis",21832,"e553d555493a3cc20f43ffa9a4acf7432e2cb1ff","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Clunio",NA,NA,NA,"3, insect","fly","None"
"90","TR_201803","TR","_201803","Homo sapiens",735,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"91","TR_201807","TR","_201807","Clunio tsushimensis",50,"e553d555493a3cc20f43ffa9a4acf7432e2cb1ff","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae","Clunio",NA,NA,NA,"3, insect","fly","None"
"92","TR_201807","TR","_201807","Homo sapiens",36,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"93","TR_201807","TR","_201807","Loxothylacus panopaei",113,"50d5a9979ab596712cae09ab233c9081bb56bfa8","Metazoa","Arthropoda","Hexanauplia","Kentrogonida","Sacculinidae","Loxothylacus","High Mg Calcite","High Mg Calcite","species","undetermined","undetermined","None"
"94","TW_201703","TW","_201703","Homo sapiens",1385,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"95","TW_201703","TW","_201703","Polychaeta sp. BOLD:ACQ0474",28,"cc3be3a4412990d18c51855a59f8662d3752d078","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,"polychaete","None"
"96","TW_201705","TW","_201705","Carcinonemertes errans",3060,"e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce","Metazoa","Nemertea","Enopla","Monostilifera","Carcinonemertidae","Carcinonemertes",NA,NA,NA,"undetermined","undetermined","None"
"97","TW_201705","TW","_201705","Homo sapiens",14,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"98","TW_201706","TW","_201706","Gallus gallus",113,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"99","TW_201706","TW","_201706","Homo sapiens",31,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"100","TW_201706","TW","_201706","Polychaeta sp. BOLD:ACQ0474",1930,"cc3be3a4412990d18c51855a59f8662d3752d078","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,"polychaete","None"
"101","TW_201708","TW","_201708","Gallus gallus",58,"344467a60c385dcb1665556874a4309471e827cd","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA,NA,NA,"3, non-marine","fowl","None"
"102","TW_201708","TW","_201708","Homo sapiens",249,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"103","TW_201709","TW","_201709","Homo sapiens",378,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"104","TW_201711","TW","_201711","Homo sapiens",382,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"105","TW_201801","TW","_201801","Homo sapiens",694,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"106","TW_201805","TW","_201805","Cryptocotyle lingua",264,"f8e230c569b132d41930401c9deacad90391e0c2","Metazoa","Platyhelminthes","Trematoda","Opisthorchiida","Heterophyidae","Cryptocotyle",NA,NA,NA,"3, non-marine","planarian, terrestrial","None"
"107","TW_201805","TW","_201805","Homo sapiens",32,"9ebd0bcbae3f4ee1f10ba13d858e85af17744e67","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",NA,NA,NA,"undetermined","undetermined","None"
"108","TW_201805","TW","_201805","Polychaeta sp. BOLD:ACQ0474",149,"cc3be3a4412990d18c51855a59f8662d3752d078","Metazoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,"polychaete","None"
