species,n_detections,life_history,marine,
Pythium tracheiphilum,65,lettuce pathogen,none found,
Saprolegnia diclina,32,"pathogen of salmonids, amphibians","only <2.8ppt? Encountered in sea bream, history of debateÉ",
Pythium pachycaule,28,"legume pathogen, root rot ",none found,
Pythium sp. CAL-2011c,19,"legume pathogen, root rot ",none found,
Phytophthora multivora,14,"woody plant pathogen, implicated in dieback",,
Albugo candida,13,"brassica, herbacious plant pathogen",none found,
Apodachlya minima,13,,,
Phytophthora taxon paludosa,12,,,
Anisolpidium ectocarpii,11,pathogen of brown algae including macroalgae,pathogen of brown algae,
Phytophthora riparia,10,"identified in waterways, riparian vegetation",none found,
Aphanomyces sp. BOLD:AAO9952,7,aphanomyces spp.  infects both plants and animals,aphanomyces documented to cause lesions on marine fish ,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-018-0508-5
Pythium acanthicum,7,strawberry pathogen ,none found,
Phytophthora megasperma,5,,,
Salispina spinosa,5,has been found in mangrove ,,
Haptoglossa zoospora,4,endoparasite in nematodes ,,
Anisolpidium rosenvingei,3,,,
Haptoglossa sp. DM2 4/12,3,,,
Lagenidium giganteum,3,,,
Peronospora violae,3,,,
Pythium periplocum,3,,,
Halophytophthora avicenniae,2,mangrove leaf saprotroph ,,
Phytophthora siskiyouensis,2,,,
Phytophthora sp. 2 EEO-2011,2,,,
Phytophthora bilorbang,1,,,
Phytopythium helicoides,1,,,
Pythium aff. diclinum,1,,,
Pythium contiguanum,1,,,